カテゴリ名,ランキング,商品URL,商品名,メーカー,ブランド名,口コミ点,口コミ件数,注目人数,容量・税込価格,発売日,税込価格,容量
注目のアイテム,,,,,,,,,,,,
スキンケア・基礎化粧品,1位,https://www.cosme.net/products/10243030/,スキンクリア クレンズ オイル アロマタイプ リフレシングシトラスの香り,アテニア,アテニア,5.6,11384.0,,"175ml・1,980円 / 350ml・3,630円 / -・275円",2023/11/15 (2025/5/19追加発売),,
スキンケア・基礎化粧品,2位,https://www.cosme.net/products/10264676/,ジェノプティクス インフィニットオーラ エッセンス,P＆Gプレステージ,SK-II,5.9,3563.0,,"30ml・22,000円 / 50ml・33,000円 / 75ml・45,430円 (編集部調べ)",2025/2/20,,
スキンケア・基礎化粧品,3位,https://www.cosme.net/products/10245780/,5番 白玉グルタチオンCふりかけマスク,BENOW,ナンバーズイン(numbuzin),5.2,8119.0,,"1枚・290円 / 4枚・1,090円",2024/1/15,,
スキンケア・基礎化粧品,4位,https://www.cosme.net/products/10259468/,ジェニフィック アルティメ セラム,ランコム,ランコム,5.8,7450.0,,"30mL・11,990円 / 50mL(レフィル)・15,400円 / 50mL・17,820円 / 115mL・33,000円",2024/9/6 (2024/10/1追加発売),,
スキンケア・基礎化粧品,5位,https://www.cosme.net/products/10124096/,スピーディーマスカラリムーバー,伊勢半,ヒロインメイク,6.0,13533.0,,6.6ml・924円,2017/2/8 (2023/8/8追加発売),,
スキンケア・基礎化粧品,6位,https://www.cosme.net/products/10267775/,アルティミューン パワライジング セラム,資生堂インターナショナル,SHISEIDO,5.7,1658.0,,"30ml・9,900円 / 50ml(レフィル)・14,630円 / 50ml・15,180円 / 75ml・19,800円",2025/3/1 (2025/8/1追加発売),,
スキンケア・基礎化粧品,7位,https://www.cosme.net/products/10265318/,UVイデア XL プロテクショントーンアップ ローズ+,ラ ロッシュ ポゼ,ラ ロッシュ ポゼ,5.4,1641.0,,"30mL・3,960円",2025/2/13,,
スキンケア・基礎化粧品,8位,https://www.cosme.net/products/10271786/,コスメデコルテ ＡＱ 毛穴美容液オイル,コスメデコルテ,コスメデコルテ,5.3,912.0,,"40mL・11,000円",2025/5/16,,
スキンケア・基礎化粧品,9位,https://www.cosme.net/products/10203762/,カネボウ スクラビング マッド ウォッシュ,カネボウ化粧品,KANEBO,5.5,14586.0,,"130g・3,080円",2021/3/5,,
