科目,レベル,リソース名,タイプ,説明,難易度
プログラミング,初級,Python基礎,動画,Pythonの基本文法を学習,★☆☆
プログラミング,初級,変数と型,記事,データ型の基本概念,★☆☆
プログラミング,中級,関数とクラス,動画,オブジェクト指向の基礎,★★☆
プログラミング,中級,データ構造,記事,リストや辞書の活用,★★☆
プログラミング,上級,アルゴリズム,書籍,効率的なプログラミング,★★★
データサイエンス,初級,データ分析入門,動画,データの読み込みと基本操作,★☆☆
データサイエンス,初級,Pandas基礎,記事,データフレームの操作,★☆☆
データサイエンス,中級,データ可視化,動画,グラフの作成と解釈,★★☆
データサイエンス,中級,統計の基礎,記事,記述統計と推測統計,★★☆
データサイエンス,上級,機械学習,書籍,予測モデルの構築,★★★
Web開発,初級,HTML/CSS,動画,ウェブページの基本構造,★☆☆
Web開発,初級,JavaScript基礎,記事,動的なウェブページの作成,★☆☆
Web開発,中級,React入門,動画,コンポーネントベースの開発,★★☆
Web開発,中級,データベース,記事,SQLの基本操作,★★☆
Web開発,上級,フルスタック開発,書籍,フロントエンドとバックエンド,★★★
AI・機械学習,初級,AI概論,動画,人工知能の基本概念,★☆☆
AI・機械学習,初級,機械学習入門,記事,教師あり学習の基礎,★☆☆
AI・機械学習,中級,深層学習,動画,ニューラルネットワーク,★★☆
AI・機械学習,中級,自然言語処理,記事,テキストデータの処理,★★☆
AI・機械学習,上級,画像認識,書籍,コンピュータビジョン,★★★ 
